latitude,longitude,month,price,region
40.41688,-3.70973,5,80.0,Centro
40.41688,-3.70973,6,80.0,Centro
40.41688,-3.70973,7,80.0,Centro
40.41688,-3.70973,8,80.0,Centro
40.41688,-3.70973,9,80.0,Centro
40.41688,-3.70973,10,80.0,Centro
40.41688,-3.70973,11,80.0,Centro
40.41704,-3.67763,1,41.0,Retiro
40.41707,-3.70815,1,134.0,Centro
40.41715,-3.67408,1,41.0,Retiro
40.41715,-3.67408,2,41.0,Retiro
40.41715,-3.67408,3,41.0,Retiro
40.41727,-3.70994,3,164.0,Centro
40.41727,-3.70994,4,164.0,Centro
40.41727,-3.70994,5,164.0,Centro
40.41727,-3.70994,6,164.0,Centro
40.41727,-3.70994,7,164.0,Centro
40.41727,-3.70994,8,164.0,Centro
40.41727,-3.70994,9,164.0,Centro
40.41727,-3.70994,10,164.0,Centro
40.41727,-3.70994,11,164.0,Centro
40.41733,-3.70221,5,146.0,Centro
40.41736,-3.71188,4,62.0,Centro
40.41736,-3.71188,5,62.0,Centro
40.41736,-3.71188,6,62.0,Centro
40.41736,-3.70217,3,208.0,Centro
40.41736,-3.70217,5,162.0,Centro
40.41736,-3.70217,6,177.33333333333334,Centro
40.41736,-3.70217,7,162.0,Centro
40.41736,-3.70217,9,208.0,Centro
40.41736,-3.70217,10,194.85714285714286,Centro
40.41736,-3.70217,11,185.0,Centro
40.41743,-3.70935,2,64.0,Centro
40.41743,-3.70935,3,64.0,Centro
40.41743,-3.70935,4,64.0,Centro
40.41743,-3.70935,5,64.0,Centro
40.41743,-3.70935,6,64.0,Centro
40.41743,-3.70935,7,64.0,Centro
40.41743,-3.70935,8,64.0,Centro
40.41743,-3.70935,9,64.0,Centro
40.41743,-3.70935,10,64.0,Centro
40.41743,-3.70935,11,64.0,Centro
40.41768006159201,-3.6173858533810064,1,35.0,San Blas - Canillejas
40.41848,-3.7073,2,135.0,Centro
40.41848,-3.7073,4,139.0,Centro
40.418567281424224,-3.672430985562741,2,50.0,Retiro
40.418567281424224,-3.672430985562741,3,50.0,Retiro
40.418567281424224,-3.672430985562741,4,50.0,Retiro
40.418567281424224,-3.672430985562741,5,50.0,Retiro
40.41876446260283,-3.7045130377501576,2,87.0,Centro
40.41879,-3.69919,1,81.0,Centro
40.41888,-3.70645,7,302.0,Centro
40.41888,-3.70645,8,302.0,Centro
40.41888,-3.70645,12,302.0,Centro
40.41893,-3.699,3,287.0,Centro
40.41893,-3.699,4,303.3333333333333,Centro
40.41893,-3.699,5,319.0,Centro
40.41893,-3.699,6,272.0,Centro
40.41896,-3.70994,6,655.0,Centro
40.41896,-3.70994,7,670.0,Centro
40.41896,-3.70994,8,665.7142857142857,Centro
40.41896,-3.70994,9,680.0,Centro
40.41896,-3.70994,10,663.3333333333334,Centro
40.41896,-3.70994,11,649.5652173913044,Centro
40.41912580697324,-3.702480976972472,1,85.0,Centro
40.41912580697324,-3.702480976972472,2,85.0,Centro
40.41912580697324,-3.702480976972472,3,85.0,Centro
40.41912580697324,-3.702480976972472,4,85.0,Centro
40.41912580697324,-3.702480976972472,5,86.37931034482759,Centro
40.41928,-3.70016,1,64.0,Centro
40.41928,-3.70016,2,64.0,Centro
40.41928,-3.70016,4,64.0,Centro
40.41928,-3.70016,5,64.0,Centro
40.41928,-3.70016,6,64.0,Centro
40.41928,-3.70016,7,64.0,Centro
40.41928,-3.70016,12,64.0,Centro
40.419369,-3.703054,9,70.0,Centro
40.419369,-3.703054,10,70.0,Centro
40.41939,-3.70047,6,208.0,Centro
40.41939,-3.70047,7,206.0,Centro
40.41939,-3.70047,10,208.25,Centro
40.41939,-3.70047,11,206.6,Centro
40.41953,-3.69905,12,371.02941176470586,Centro
40.41971,-3.70014,1,117.0,Centro
40.41971,-3.70014,2,105.0,Centro
40.41971,-3.70014,3,105.0,Centro
40.41971,-3.70014,4,106.33333333333333,Centro
40.41971,-3.70014,5,108.2,Centro
40.41993,-3.70006,1,47.0,Centro
40.41993,-3.70006,2,47.0,Centro
40.41993,-3.70006,3,47.0,Centro
40.41993,-3.70006,4,47.0,Centro
40.41993,-3.70006,6,36.06666666666667,Centro
40.41993,-3.70006,7,35.52173913043478,Centro
40.41993,-3.70006,8,35.869565217391305,Centro
40.41993,-3.70006,9,35.19047619047619,Centro
40.41993,-3.70006,10,35.4,Centro
40.41993,-3.70006,11,35.0,Centro
40.41993,-3.70006,12,36.01960784313726,Centro
40.41996,-3.70857,4,149.0,Centro
40.42003,-3.70567,5,269.0,Centro
40.42003,-3.70567,6,269.0,Centro
40.4205,-3.70129,3,82.0,Centro
40.4205,-3.70129,4,82.0,Centro
40.4205,-3.70129,5,82.0,Centro
40.4205,-3.70129,7,82.0,Centro
40.4205,-3.70129,8,82.0,Centro
40.4205,-3.70129,9,82.0,Centro
40.4205,-3.70129,10,82.0,Centro
40.4205,-3.70129,11,82.0,Centro
40.4205,-3.70129,12,82.0,Centro
40.42051,-3.70221,11,64.0,Centro
40.42055,-3.70547,1,58.0,Centro
40.42055,-3.70547,2,60.0,Centro
40.42055,-3.70547,3,60.0,Centro
40.42055,-3.70547,4,60.0,Centro
40.42067,-3.7011,2,124.0,Centro
40.42067,-3.7011,3,124.0,Centro
40.42067,-3.7011,4,124.0,Centro
40.42067,-3.7011,5,124.0,Centro
40.42067,-3.7011,6,124.0,Centro
40.42067,-3.7011,7,124.0,Centro
40.42067,-3.7011,8,124.0,Centro
40.42067,-3.7011,9,124.0,Centro
40.42067,-3.7011,10,124.0,Centro
40.420678149564914,-3.6899822464222174,3,484.0,Salamanca
40.420678149564914,-3.6899822464222174,5,952.0,Salamanca
40.420678149564914,-3.6899822464222174,6,718.0,Salamanca
40.420678149564914,-3.6899822464222174,11,952.0,Salamanca
40.42068714240115,-3.702138472400823,1,81.0,Centro
40.42068714240115,-3.702138472400823,2,68.0,Centro
40.42068714240115,-3.702138472400823,3,68.0,Centro
40.42068714240115,-3.702138472400823,4,69.4,Centro
40.42068714240115,-3.702138472400823,5,69.66666666666667,Centro
40.420818,-3.706412,10,94.0,Centro
40.42092,-3.71301,2,200.0,Centro
40.42092,-3.71301,3,200.0,Centro
40.42098,-3.70737,6,585.3333333333334,Centro
40.42098,-3.70737,7,486.0,Centro
40.42098,-3.70737,8,432.0,Centro
40.42098,-3.70737,9,432.0,Centro
40.42098,-3.70737,10,432.0,Centro
40.42098,-3.70737,11,432.0,Centro
40.42098,-3.70198,4,245.0,Centro
40.42107,-3.7023,3,105.0,Centro
40.42107,-3.7023,4,105.0,Centro
40.4211056,-3.700145199999999,10,33.0,Centro
40.4211056,-3.700145199999999,11,33.0,Centro
40.421125807425305,-3.7190519523925714,2,94.0,Moncloa-Aravaca
40.421125807425305,-3.7190519523925714,3,94.0,Moncloa-Aravaca
40.421125807425305,-3.7190519523925714,4,94.0,Moncloa-Aravaca
40.421125807425305,-3.7190519523925714,5,94.0,Moncloa-Aravaca
40.421125807425305,-3.7190519523925714,6,94.0,Moncloa-Aravaca
40.421125807425305,-3.7190519523925714,7,94.0,Moncloa-Aravaca
40.421125807425305,-3.7190519523925714,8,94.0,Moncloa-Aravaca
40.421125807425305,-3.7190519523925714,9,94.0,Moncloa-Aravaca
40.421125807425305,-3.7190519523925714,10,94.0,Moncloa-Aravaca
40.421125807425305,-3.7190519523925714,11,94.0,Moncloa-Aravaca
40.421125807425305,-3.7190519523925714,12,94.0,Moncloa-Aravaca
40.4212,-3.70005,2,66.0,Centro
40.4212,-3.70005,3,66.0,Centro
40.4212,-3.70005,4,67.4,Centro
40.4212,-3.70005,5,68.8,Centro
40.42139,-3.71031,2,293.0,Centro
40.42139,-3.71031,3,293.0,Centro
40.42139,-3.71031,4,293.0,Centro
40.42139,-3.71031,5,293.0,Centro
40.42153316337821,-3.7078690723988847,1,53.0,Centro
40.42153316337821,-3.7078690723988847,2,53.0,Centro
40.42153316337821,-3.7078690723988847,3,55.07692307692308,Centro
40.42153316337821,-3.7078690723988847,4,54.6875,Centro
40.42153316337821,-3.7078690723988847,5,56.0,Centro
40.42153316337821,-3.7078690723988847,6,54.945945945945944,Centro
40.42153316337821,-3.7078690723988847,7,53.375,Centro
40.42153316337821,-3.7078690723988847,8,55.34782608695652,Centro
40.42153316337821,-3.7078690723988847,9,54.285714285714285,Centro
40.42153316337821,-3.7078690723988847,10,53.58064516129032,Centro
40.42153316337821,-3.7078690723988847,11,53.0,Centro
40.42155,-3.70863,6,167.0,Centro
40.42155,-3.70863,7,486.0,Centro
40.42155,-3.70863,8,425.0,Centro
40.42155,-3.70863,9,189.0,Centro
40.42155,-3.70863,10,189.0,Centro
40.42155,-3.70863,11,189.0,Centro
40.42155,-3.70863,12,294.375,Centro
40.42167861686106,-3.709887340664864,6,104.0,Centro
40.42167861686106,-3.709887340664864,7,87.0,Centro
40.42167861686106,-3.709887340664864,8,87.0,Centro
40.42167861686106,-3.709887340664864,9,87.0,Centro
40.42167861686106,-3.709887340664864,10,87.0,Centro
40.42167861686106,-3.709887340664864,11,87.0,Centro
40.42170850000001,-3.697757,4,123.0,Centro
40.42170850000001,-3.697757,5,123.0,Centro
40.42170850000001,-3.697757,6,123.0,Centro
40.42170850000001,-3.697757,7,123.0,Centro
40.42170850000001,-3.697757,9,123.0,Centro
