month,year,latitude,longitude,price,room_type
2,2024,40.41589831,-3.71266663,25.0,Single Bed in 8-Bed Mixed Dormitory Room
2,2024,40.41329183,-3.7008208,54.0,Bed in 12-Bed Mixed Dormitory Room
2,2024,40.41892807,-3.71011868,135.0,Economy Single Room
2,2024,40.411476,-3.704084,172.0,Single Room
2,2024,40.4139392,-3.69445324,150.0,Standard Single Room
2,2024,40.42073614,-3.7055628,162.0,Double Room
2,2024,40.4270079,-3.68410125,174.0,Double Room
2,2024,40.41338203,-3.69994164,192.0,Studio (2 Adults)
2,2024,40.46829849,-3.68815541,140.0,Classic Double or Twin Room
2,2024,40.41530745,-3.69904719,140.0,Standard Single Room with Shared Bathroom
2,2024,40.42053513,-3.70387316,234.0,The INNSIDE Room
2,2024,40.41112159,-3.70678928,47.0,Bed in 6-Bed Mixed Dormitory Room
2,2024,40.42557659,-3.71371821,129.0,Standard King Room
2,2024,40.43859914,-3.69287744,112.0,Single Room
2,2024,40.4130645,-3.66922554,95.0,Standard Queen Room
2,2024,40.40987718,-3.69371295,213.0,Standard Room
2,2024,40.40616008,-3.72182518,119.0,Standard Double or Twin Room
2,2024,40.41269528,-3.69943624,54.0,Interior Single Room with Shared Bathroom
2,2024,40.4240708,-3.7007468,82.0,Single Room
2,2024,40.40146032,-3.68706107,145.0,Double or Twin Room
2,2024,40.41348294,-3.66766935,95.0,Standard Queen Room
2,2024,40.419804,-3.70827,47.0,Bed in 8-Bed Female Dormitory Room (female only)
2,2024,40.4190527,-3.700938,135.0,Budget Single Room
2,2024,40.45341253,-3.70171726,51.0,Superior Single Room with Shared Bathroom
2,2024,40.40714642,-3.69308468,39.0,Bed in 4-Bed Female Dormitory Room
2,2024,40.40909293,-3.69301558,106.0,Economy Small Single Room
2,2024,40.42369331,-3.71080033,229.0,Deluxe Twin
2,2024,40.41261177,-3.69404688,211.0,Individual Room
2,2024,40.4483838,-3.7029066,47.0,Large Single Room
2,2024,40.43256949,-3.65625858,116.0,Standard Room with 2 Single Beds
2,2024,40.41915269,-3.70947227,117.0,Single Room
2,2024,40.42038,-3.697279,104.0,Budget Single Room
2,2024,40.40689331,-3.6831142,138.0,Single Room
2,2024,40.46829849,-3.68815541,113.0,Classic Double or Twin Room
2,2024,40.41424,-3.70377193,36.0,Bed in 10-Bed Mixed Dormitory Room
2,2024,40.4099119,-3.69264007,147.0,Standard Single Room with View and Terrace
2,2024,40.4210194,-3.70042,166.0,Deluxe Double or Twin Room
2,2024,40.4515416,-3.59286189,114.0,Double or Twin Room
2,2024,40.43051355,-3.66425693,157.0,Double Room
2,2024,40.39889583,-3.6700666,150.0,Standard Double or Twin Room
2,2024,40.43109237,-3.68746743,102.0,Single Room
2,2024,40.43837356,-3.69514793,180.0,Superior Double or Twin Room
2,2024,40.40778583,-3.68938923,129.0,Basic Single Room
2,2024,40.41184389,-3.69792804,155.0,Single Room
2,2024,40.41335555,-3.70105094,169.0,Standard Double Room
2,2024,40.41449365,-3.70012745,152.0,Single Room
2,2024,40.44925049,-3.57680619,97.0,Double Room (1 Adult)
2,2024,40.4475492,-3.62816378,123.0,Twin Room
2,2024,40.45579703,-3.68197963,141.0,Standard Single Room
2,2024,40.42247011,-3.71025652,31.0,Single Room
2,2024,40.4206944,-3.70739244,183.0,Standard Double Room
2,2024,40.40845368,-3.69281173,90.0,Single Room
2,2024,40.43671385,-3.67907748,172.0,Standard Single Room
2,2024,40.42869502,-3.69622484,150.0,Avani Room
